UNITID,CDACTUA,EFTEUG,FTEUG
199582,32183.0,1073.0,1073.0
199607,9553.0,318.0,318.0
199625,37528.0,1251.0,1251.0
199634,80779.0,2693.0,2693.0
199643,27803.0,927.0,927.0
199698,25983.0,866.0,866.0
199722,26968.0,899.0,899.0
199731,46872.0,1562.0,1562.0
199740,43349.0,1445.0,1445.0
199759,18345.0,612.0,612.0
199768,54834.0,1828.0,1828.0
199786,79260.0,2642.0,2642.0
199795,21169.0,706.0,706.0
199838,60500.0,2017.0,2017.0
199847,160607.0,5354.0,5354.0
199856,401939.0,13099.0,13082.0
199865,21824.0,727.0,727.0
199883,3930.0,131.0,131.0
199892,61081.0,2036.0,2036.0
199908,28932.0,964.0,964.0
199926,48244.0,1608.0,1608.0
199953,38863.0,1295.0,1295.0
199962,74472.0,2482.0,2482.0
199971,1537.0,57.0,57.0
199999,133147.0,4438.0,4438.0
200004,272683.0,9089.0,9089.0
200013,26239.0,583.0,583.0
200022,73718.0,2457.0,2457.0
200059,33500.0,1117.0,1117.0
200086,4172.0,139.0,139.0
200156,31674.0,1056.0,1056.0
200192,24928.0,831.0,831.0
200208,5459.0,182.0,182.0
200217,70528.0,2351.0,2351.0
200226,25264.0,842.0,842.0
200253,64389.0,2146.0,2146.0
200280,252000.0,8400.0,8400.0
200305,59739.0,1991.0,1991.0
200314,19287.0,643.0,643.0
200332,277685.0,9256.0,9256.0
200341,20497.0,683.0,683.0
200466,5143.0,171.0,171.0
200484,3601.0,120.0,120.0
200527,11906.0,397.0,397.0
200554,12874.0,429.0,429.0
200572,33075.0,1103.0,1103.0
200590,5616.0,187.0,187.0
200785,12371.0,412.0,412.0
200800,307763.0,10259.0,10259.0
200846,25973.0,866.0,866.0
200873,1900.0,63.0,63.0
201061,6629.0,221.0,237.0
201104,85634.0,2854.0,2854.0
201140,1537.0,57.0,57.0
201177,6355.0,212.0,212.0
201195,83626.0,2788.0,2788.0
201283,16594.0,553.0,553.0
201371,21047.0,702.0,702.0
201432,39106.0,1304.0,1304.0
201441,392458.0,13082.0,13082.0
201469,15199.0,507.0,507.0
201548,60903.0,2030.0,2030.0
201645,179811.0,5994.0,5994.0
201654,119807.0,3994.0,3994.0
201672,48506.0,1617.0,1617.0
201690,142409.0,4747.0,4747.0
201751,2735.0,91.0,91.0
201821,26461.0,882.0,882.0
201867,4155.0,139.0,139.0
201885,401939.0,13099.0,13082.0
201928,151549.0,5052.0,5052.0
201946,94697.0,3157.0,3157.0
201955,108215.0,3607.0,3607.0
201964,18396.0,613.0,613.0
201973,86813.0,2894.0,2894.0
202046,16392.0,546.0,568.0
202073,7046.0,235.0,218.0
202134,281762.0,9392.0,9392.0
202170,27483.0,916.0,916.0
202222,401939.0,13099.0,13082.0
202356,309717.0,10324.0,10324.0
202435,4461.0,99.0,99.0
202480,252076.0,8403.0,8403.0
202514,14582.0,486.0,486.0
202523,71533.0,2384.0,2384.0
202648,70803.0,2360.0,2360.0
202763,75450.0,2515.0,2515.0
202806,123063.0,4102.0,4102.0
202903,6156.0,205.0,205.0
202912,8263.0,275.0,275.0
203085,29837.0,995.0,995.0
203128,28027.0,934.0,994.0
203155,52858.0,1762.0,1762.0
203234,4920.0,164.0,164.0
203289,1740.0,58.0,58.0
203331,401939.0,13099.0,13082.0
203368,74187.0,2473.0,2473.0
203386,100693.0,2238.0,2238.0
203447,21406.0,714.0,714.0
203456,10260.0,342.0,342.0
203465,60242.0,2008.0,2008.0
203474,26408.0,880.0,880.0
203483,25522.0,851.0,851.0
203492,18864.0,629.0,629.0
203517,401939.0,13099.0,13082.0
203526,24776.0,826.0,826.0
203535,61712.0,2057.0,2057.0
203544,22270.0,742.0,742.0
203580,19016.0,634.0,634.0
203599,92162.0,3072.0,3072.0
203678,45006.0,1500.0,1500.0
203720,7930.0,184.0,184.0
203739,2614.0,60.0,60.0
203748,154251.0,5142.0,5142.0
203757,21794.0,726.0,726.0
203775,26577.0,886.0,886.0
203845,32720.0,1091.0,1091.0
203881,37369.0,1246.0,1246.0
203960,26964.0,899.0,899.0
204006,58126.0,1938.0,1938.0
204015,36471.0,1216.0,1216.0
204024,401939.0,13099.0,13082.0
204176,21528.0,718.0,718.0
204185,59966.0,1999.0,1999.0
204194,42954.0,1432.0,1432.0
204200,33076.0,1103.0,1103.0
204255,30442.0,1015.0,1015.0
204264,42066.0,1402.0,1402.0
204422,42917.0,1431.0,1431.0
204440,68213.0,2274.0,2274.0
204468,34409.0,1147.0,1147.0
204486,124020.0,2756.0,2756.0
204501,99992.0,3333.0,3333.0
204608,4973.0,445.0,445.0
204617,23052.0,768.0,768.0
204635,68362.0,2279.0,2279.0
204662,12830.0,428.0,428.0
204671,24285.0,810.0,810.0
204680,25594.0,853.0,853.0
204699,26935.0,898.0,898.0
204705,66359.0,2212.0,2212.0
204796,401939.0,13099.0,13082.0
204802,12636.0,421.0,421.0
204820,25448.0,848.0,848.0
204839,25711.0,857.0,857.0
204848,23898.0,797.0,797.0
204857,401939.0,13099.0,13082.0
204866,24684.0,823.0,823.0
204884,7656.0,170.0,170.0
204893,1537.0,57.0,57.0
204909,42992.0,1433.0,1442.0
204936,63171.0,2106.0,2106.0
204945,136849.0,4562.0,4562.0
205027,1537.0,57.0,57.0
205054,20529.0,462.0,462.0
205090,1537.0,57.0,57.0
