UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,6,6,261,260.0
110714,8,8,108,106.0
110714,9,9,61,60.0
110714,10,10,14,14.0
110714,11,11,3,3.0
110714,12,12,423,415.0
110714,13,13,576,415.0
110714,15,15,7,7.0
110714,16,16,4,4.0
110714,17,17,402,400.0
110714,18,18,77,77.0
110714,19,19,16,16.0
110714,20,20,29,28.0
110714,21,21,65,65.0
110714,22,22,168,168.0
110714,23,23,9,9.0
110714,24,24,101,100.0
110714,25,25,135,135.0
110714,26,26,122,122.0
110714,27,27,32,32.0
110714,28,28,88,88.0
110714,29,29,80,80.0
110714,30,30,6,5.0
110714,31,31,13,13.0
110714,32,32,16,16.0
110714,33,33,30,30.0
110714,34,34,209,207.0
110714,35,35,8,7.0
110714,36,36,220,218.0
110714,37,37,158,156.0
110714,38,38,6,6.0
110714,39,39,127,126.0
110714,40,40,25,25.0
110714,41,41,9,9.0
110714,42,42,204,204.0
110714,44,44,17,16.0
110714,45,45,88,86.0
110714,46,46,3,3.0
110714,47,47,331,328.0
110714,48,48,456,415.0
110714,49,49,8,8.0
110714,50,50,2,2.0
110714,51,51,176,175.0
110714,53,53,34,34.0
110714,54,54,7,7.0
