UNITID,RRFTCT,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTCTA,RET_NMP,STUFACR 
140872,330.0,330.0,225.0,68.0,161.0,161.0,64.0,20.0
140872,496.0,496.0,395.0,80.0,33.0,33.0,1.0,10.0
140872,210.0,210.0,140.0,67.0,161.0,161.0,76.0,15.0
140872,13.0,13.0,11.0,85.0,16.0,16.0,14.0,15.0
140872,14.0,14.0,13.0,87.0,13.0,13.0,13.0,15.0
140872,971.0,970.0,672.0,69.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,70.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,74.0,161.0,161.0,76.0,20.0
140872,459.0,459.0,289.0,63.0,161.0,161.0,76.0,20.0
140872,454.0,454.0,320.0,70.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,87.0,36.0,36.0,21.0,20.0
140872,971.0,970.0,672.0,87.0,1.0,1.0,1.0,13.0
140872,971.0,970.0,672.0,85.0,161.0,161.0,76.0,19.0
140872,971.0,970.0,672.0,81.0,5.0,5.0,1.0,13.0
140872,971.0,970.0,672.0,70.0,161.0,161.0,76.0,20.0
140872,170.0,170.0,114.0,67.0,6.0,6.0,1.0,11.0
140872,346.0,346.0,237.0,68.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,85.0,161.0,161.0,76.0,20.0
140872,421.0,421.0,341.0,81.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,68.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,87.0,1.0,1.0,1.0,12.0
140872,692.0,692.0,460.0,66.0,161.0,161.0,76.0,17.0
140872,316.0,316.0,286.0,87.0,1.0,1.0,0.0,10.0
140872,971.0,970.0,672.0,69.0,161.0,161.0,76.0,20.0
140872,12.0,12.0,8.0,55.0,1.0,1.0,0.0,10.0
140872,971.0,970.0,672.0,69.0,161.0,161.0,76.0,20.0
140872,39.0,39.0,30.0,77.0,6.0,6.0,5.0,13.0
140872,119.0,119.0,77.0,65.0,1.0,1.0,0.0,13.0
140872,127.0,127.0,62.0,55.0,64.0,64.0,14.0,13.0
140872,650.0,650.0,408.0,63.0,161.0,161.0,76.0,16.0
140872,415.0,415.0,357.0,86.0,6.0,6.0,6.0,10.0
140872,803.0,803.0,609.0,76.0,19.0,19.0,9.0,18.0
140872,12.0,12.0,8.0,67.0,3.0,3.0,1.0,15.0
140872,494.0,494.0,357.0,72.0,1.0,1.0,1.0,16.0
140872,176.0,176.0,155.0,87.0,20.0,20.0,13.0,18.0
140872,971.0,970.0,672.0,75.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,87.0,3.0,3.0,1.0,10.0
140872,213.0,213.0,155.0,73.0,161.0,161.0,76.0,20.0
140872,170.0,170.0,132.0,78.0,1.0,1.0,0.0,20.0
140872,971.0,970.0,672.0,76.0,161.0,161.0,76.0,20.0
140872,25.0,25.0,24.0,87.0,1.0,1.0,0.0,20.0
140872,810.0,810.0,577.0,71.0,161.0,161.0,76.0,20.0
140872,181.0,165.0,94.0,57.0,161.0,161.0,76.0,20.0
140872,12.0,12.0,8.0,55.0,104.0,104.0,32.0,20.0
140872,130.0,130.0,79.0,61.0,161.0,161.0,50.0,20.0
140872,12.0,12.0,8.0,87.0,3.0,3.0,3.0,20.0
