UNITID,EFYDETOT,EFYDEANY_arcsin
107460,2194,0.9788878553291579
107488,231,0.0
107512,1784,0.8179323269633532
107521,2053,0.5029583333757982
107549,1345,1.0128663750558742
107558,848,0.8779061652624975
107585,2508,0.8963544477751062
107600,797,1.4286306541804925
107619,1597,0.7033142344655733
107637,1457,1.0285711946925489
107655,50,0.0
107664,6404,1.0678239458195977
107725,1503,0.8337101629862461
107743,902,0.9798409457461055
107789,185,0.0
107831,122,0.0
107840,405,0.9293540733282852
107877,636,0.6984831196353684
107974,1681,0.9881099817004514
107983,3454,1.1997947581490491
107992,1536,0.7964667757499369
108065,21,0.0
108092,6090,1.0463447436798918
108232,7036,1.296291265761931
108667,8838,1.3375914413462204
108807,15100,0.7590946418440645
108852,251,0.0
108977,313,0.0
109040,2896,1.0081648384347741
109208,41538,1.0903721912195927
109350,14843,0.936900746778888
109651,2682,1.446838111768475
109721,354,0.0
109730,108,0.0
109785,4329,0.806540984797807
109819,37017,1.024048679876069
109907,3615,1.447134788875619
109934,682,1.0668974367863138
110060,315,1.5144228557070207
110097,3854,0.7555412947913751
110194,391,0.0
110219,2550,1.5707963267948966
110246,12205,1.1192423779969098
110316,136,1.5707963267948966
110334,13574,1.1097137046571028
110361,9409,1.3741994072181856
110370,1348,1.3392315514778181
110404,1014,0.0
110413,2838,0.5110976787183956
110422,21877,1.3148600718017365
110468,1101,0.9796189732529014
110486,10751,1.2628024397856776
110495,10519,1.3747838175234766
110510,18675,1.2302784422583672
110529,28252,1.4545590016229681
110538,15655,1.3572675562813505
110547,16476,1.4388927358015822
110556,23830,1.252488656881863
110565,40059,1.2295717323245274
110574,13941,1.4301393414378376
110583,36562,1.3020879613951175
110592,25394,1.3775051961425893
110608,36215,1.4692711971636447
110617,32892,1.3798299519898871
110635,33715,1.2488727933572537
110644,33978,0.9103937327762376
110653,31082,1.3242058407392263
110662,34082,1.2640785077658292
110671,24776,1.385387003162561
110680,35266,1.2967980735073585
110705,25135,0.6681335529217601
110714,19313,1.404054230492468
110778,24,0.9117382909684877
110875,104,0.0
110918,28,0.9302740141154722
111045,37,0.576687027733489
111054,162,0.0
111081,999,0.0
111188,1006,0.7356141568732931
111434,9059,1.0446202195991738
111461,27936,0.968899949065381
111513,345,0.0
111638,498,1.186489815054599
111708,353,0.0
111717,329,0.0
111726,309,0.0
111744,196,0.0
111762,181,0.0
111799,273,0.0
111887,26691,0.9800618150559564
111896,7778,1.130315968258342
111920,17500,1.1792959696894902
111939,27715,1.418725364655243
111948,7936,0.16918594272680673
111966,315,0.7456738463548797
112075,1894,0.7053309588140797
112084,543,1.5278690364070746
112172,14394,1.190529693243875
112181,182,0.0
112190,26792,0.8050359379645736
112260,1427,0.0
112288,660,0.0
112367,432,0.0
112385,13843,1.4312033194665303
112394,530,1.4641955089297698
112455,222,0.20273270302311788
112561,3304,1.0840098605953894
112570,1040,0.30368322734744346
112686,5932,1.0747053965317621
112826,8786,1.3034838888852762
113096,21255,1.379546617997048
113111,7444,1.175094780129028
113193,13943,1.0782287466573606
113218,12428,1.1255720501733304
113236,18759,0.8973444746439627
113333,26779,1.394685523402547
113449,288,0.0
113537,13,0.0
113573,14068,1.289382034083858
113582,133,1.2403736788834134
