UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A   
134945,244.0,5907400.0,24211.0,97.0,1282873.0,13225.0,341,7190273,21086.0,1.0,1500.0,1500.0,4.0,9300.0,2325.0,5,10800,2160.0
135081,2703.0,33440088.0,12371.0,145.0,1495014.0,10310.0,2848,34935102,12267.0,49.0,126465.0,2581.0,2.0,4500.0,2250.0,51,130965,2568.0
136172,513.0,2467803.0,4811.0,76.0,539600.0,7100.0,589,3007403,5106.0,24.0,59123.0,2463.0,3.0,3429.0,1143.0,27,62552,2317.0
136215,106.0,1977743.0,18658.0,199.0,2639789.0,13265.0,305,4617532,15139.0,4.0,11682.0,2921.0,6.0,16686.0,2781.0,10,28368,2837.0
137032,973.0,5818876.0,5980.0,415.0,2650216.0,6386.0,1388,8469092,6102.0,1230.0,2995139.0,2435.0,128.0,276898.0,2163.0,1358,3272037,2409.0
137351,907.0,4580815.0,5051.0,234.0,2087491.0,8921.0,1141,6668306,5844.0,28.0,52380.0,1871.0,24.0,63978.0,2666.0,52,116358,2238.0
137564,92.0,1182841.0,12857.0,17.0,136057.0,8003.0,109,1318898,12100.0,4.0,12434.0,3109.0,1.0,1000.0,1000.0,5,13434,2687.0
138354,8.0,21276.0,2660.0,4.0,10883.0,2721.0,12,32159,2680.0,173.0,279707.0,1617.0,98.0,302779.0,3090.0,271,582486,2149.0
139199,19.0,227967.0,11998.0,25.0,215284.0,8611.0,44,443251,10074.0,7.0,19250.0,2750.0,22.0,49000.0,2227.0,29,68250,2353.0
139311,169.0,760591.0,4501.0,17.0,86611.0,5095.0,186,847202,4555.0,21.0,37398.0,1781.0,4.0,10000.0,2500.0,25,47398,1896.0
139366,343.0,1498071.0,4368.0,39.0,167111.0,4285.0,382,1665182,4359.0,139.0,181484.0,1306.0,52.0,77639.0,1493.0,191,259123,1357.0
139719,6.0,12496.0,2083.0,1.0,2522.0,2522.0,7,15018,2145.0,24.0,70712.0,2946.0,5.0,21051.0,4210.0,29,91763,3164.0
139755,150.0,1333395.0,8889.0,160.0,1463839.0,9149.0,310,2797234,9023.0,6.0,15120.0,2520.0,198.0,572801.0,2893.0,204,587921,2882.0
139931,792.0,3474936.0,4388.0,60.0,323580.0,5393.0,852,3798516,4458.0,111.0,166165.0,1497.0,3.0,9208.0,3069.0,114,175373,1538.0
139940,535.0,3841597.0,7181.0,92.0,1161987.0,12630.0,627,5003584,7980.0,29.0,117096.0,4038.0,5.0,10250.0,2050.0,34,127346,3745.0
139959,222.0,1572620.0,7084.0,149.0,2075439.0,13929.0,371,3648059,9833.0,3.0,9073.0,3024.0,8.0,9000.0,1125.0,11,18073,1643.0
141264,195.0,846850.0,4343.0,27.0,115645.0,4283.0,222,962495,4336.0,39.0,65101.0,1669.0,3.0,6527.0,2176.0,42,71628,1705.0
141334,294.0,777790.0,2646.0,38.0,87681.0,2307.0,332,865471,2607.0,27.0,13226.0,490.0,11.0,5606.0,510.0,38,18832,496.0
141486,123.0,1726598.0,14037.0,71.0,1118886.0,15759.0,194,2845484,14667.0,34.0,82983.0,2441.0,2.0,5500.0,2750.0,36,88483,2458.0
141574,704.0,6430576.0,9134.0,109.0,1373093.0,12597.0,813,7803669,9599.0,34.0,87250.0,2566.0,7.0,15250.0,2179.0,41,102500,2500.0
141644,486.0,9601935.0,19757.0,116.0,1708575.0,14729.0,602,11310510,18788.0,382.0,696728.0,1824.0,20.0,38500.0,1925.0,402,735228,1829.0
142115,563.0,3149999.0,5595.0,91.0,607180.0,6672.0,654,3757179,5745.0,331.0,837154.0,2529.0,22.0,73834.0,3356.0,353,910988,2581.0
142276,216.0,1483374.0,6867.0,13.0,237036.0,18234.0,229,1720410,7513.0,41.0,98994.0,2414.0,1.0,3799.0,3799.0,42,102793,2447.0
142285,161.0,1349197.0,8380.0,58.0,751673.0,12960.0,219,2100870,9593.0,18.0,64886.0,3605.0,16.0,37167.0,2323.0,34,102053,3002.0
143118,46.0,561860.0,12214.0,12.0,139149.0,11596.0,58,701009,12086.0,2.0,6667.0,3334.0,1.0,3000.0,3000.0,3,9667,3222.0
144281,70.0,1127861.0,16112.0,1.0,26808.0,26808.0,71,1154669,16263.0,13.0,15606.0,1200.0,1.0,766.0,766.0,14,16372,1169.0
144351,16.0,214747.0,13422.0,26.0,163560.0,6291.0,42,378307,9007.0,10.0,26750.0,2675.0,10.0,14250.0,1425.0,20,41000,2050.0
144740,224.0,4406222.0,19671.0,94.0,1481578.0,15761.0,318,5887800,18515.0,1.0,2000.0,2000.0,3.0,8667.0,2889.0,4,10667,2667.0
144892,43.0,249866.0,5811.0,10.0,41338.0,4134.0,53,291204,5494.0,3.0,5807.0,1936.0,1.0,750.0,750.0,4,6557,1639.0
145600,207.0,2239167.0,10817.0,74.0,1253238.0,16936.0,281,3492405,12428.0,21.0,83014.0,3953.0,4.0,9500.0,2375.0,25,92514,3701.0
145637,122.0,1617242.0,13256.0,123.0,895774.0,7283.0,245,2513016,10257.0,5.0,19250.0,3850.0,39.0,102890.0,2638.0,44,122140,2776.0
146612,111.0,1854153.0,16704.0,36.0,267307.0,7425.0,147,2121460,14432.0,129.0,245563.0,1904.0,2.0,3806.0,1903.0,131,249369,1904.0
147013,68.0,723570.0,10641.0,19.0,109344.0,5755.0,87,832914,9574.0,46.0,120550.0,2621.0,6.0,23492.0,3915.0,52,144042,2770.0
147369,15.0,92259.0,6151.0,16.0,92717.0,5795.0,31,184976,5967.0,1.0,1500.0,1500.0,1.0,750.0,750.0,2,2250,1125.0
147703,140.0,1233171.0,8808.0,48.0,448270.0,9339.0,188,1681441,8944.0,2.0,5250.0,2625.0,2.0,6500.0,3250.0,4,11750,2938.0
148654,56.0,342906.0,6123.0,36.0,141275.0,3924.0,92,484181,5263.0,14.0,25948.0,1853.0,8.0,28027.0,3503.0,22,53975,2453.0
149222,220.0,1831886.0,8327.0,43.0,372007.0,8651.0,263,2203893,8380.0,158.0,276025.0,1747.0,22.0,51426.0,2338.0,180,327451,1819.0
149772,96.0,588420.0,6129.0,14.0,50782.0,3627.0,110,639202,5811.0,12.0,30345.0,2529.0,7.0,11000.0,1571.0,19,41345,2176.0
150136,144.0,1079866.0,7499.0,92.0,576610.0,6268.0,236,1656476,7019.0,49.0,161517.0,3296.0,12.0,30756.0,2563.0,61,192273,3152.0
151111,361.0,2773980.0,7684.0,84.0,1280770.0,15247.0,445,4054750,9112.0,87.0,302000.0,3471.0,10.0,20625.0,2063.0,97,322625,3326.0
151263,38.0,759196.0,19979.0,11.0,110572.0,10052.0,49,869768,17750.0,3.0,6500.0,2167.0,1.0,4500.0,4500.0,4,11000,2750.0
151290,10.0,114096.0,11410.0,13.0,30842.0,2372.0,23,144938,6302.0,1.0,4500.0,4500.0,26.0,33000.0,1269.0,27,37500,1389.0
151306,63.0,339481.0,5389.0,28.0,142657.0,5095.0,91,482138,5298.0,33.0,99050.0,3002.0,15.0,42650.0,2843.0,48,141700,2952.0
151324,152.0,896083.0,5895.0,16.0,105135.0,6571.0,168,1001218,5960.0,102.0,260313.0,2552.0,8.0,16750.0,2094.0,110,277063,2519.0
151351,201.0,1864170.0,9274.0,202.0,3393383.0,16799.0,403,5257553,13046.0,49.0,199012.0,4061.0,31.0,65751.0,2121.0,80,264763,3310.0
151388,55.0,296673.0,5394.0,2.0,11459.0,5730.0,57,308132,5406.0,29.0,73843.0,2546.0,1.0,750.0,750.0,30,74593,2486.0
152336,23.0,480398.0,20887.0,13.0,108763.0,8366.0,36,589161,16366.0,1.0,500.0,500.0,2.0,4250.0,2125.0,3,4750,1583.0
153269,32.0,518178.0,16193.0,22.0,172541.0,7843.0,54,690719,12791.0,2.0,7000.0,3500.0,1.0,3750.0,3750.0,3,10750,3583.0
153375,36.0,422578.0,11738.0,4.0,14686.0,3672.0,40,437264,10932.0,11.0,27155.0,2469.0,1.0,1500.0,1500.0,12,28655,2388.0
153603,376.0,3075944.0,8181.0,40.0,520090.0,13002.0,416,3596034,8644.0,31.0,122125.0,3940.0,1.0,1500.0,1500.0,32,123625,3863.0
153658,263.0,2183860.0,8304.0,94.0,1249889.0,13297.0,357,3433749,9618.0,71.0,259500.0,3655.0,17.0,66345.0,3903.0,88,325845,3703.0
154022,2197.0,11738136.0,5343.0,481.0,3324154.0,6911.0,2678,15062290,5624.0,5930.0,17531731.0,2956.0,154.0,439748.0,2856.0,6084,17971479,2954.0
154095,102.0,673933.0,6607.0,6.0,38466.0,6411.0,108,712399,6596.0,28.0,89000.0,3179.0,4.0,9500.0,2375.0,32,98500,3078.0
154235,40.0,717688.0,17942.0,19.0,184002.0,9684.0,59,901690,15283.0,1.0,750.0,750.0,2.0,5250.0,2625.0,3,6000,2000.0
154350,12.0,189170.0,15764.0,1.0,7948.0,7948.0,13,197118,15163.0,2.0,5000.0,2500.0,1.0,2000.0,2000.0,3,7000,2333.0
154493,223.0,1180419.0,5293.0,55.0,350513.0,6373.0,278,1530932,5507.0,555.0,1246311.0,2246.0,79.0,214488.0,2715.0,634,1460799,2304.0
154518,197.0,862010.0,4376.0,56.0,180180.0,3218.0,253,1042190,4119.0,1009.0,2532204.0,2510.0,162.0,364204.0,2248.0,1171,2896408,2473.0
154688,28.0,382704.0,13668.0,16.0,91921.0,5745.0,44,474625,10787.0,10.0,30678.0,3068.0,44.0,114973.0,2613.0,54,145651,2697.0
155025,34.0,180993.0,5323.0,20.0,90749.0,4537.0,54,271742,5032.0,2.0,7750.0,3875.0,11.0,25453.0,2314.0,13,33203,2554.0
155061,106.0,332662.0,3138.0,28.0,95127.0,3397.0,134,427789,3192.0,86.0,197532.0,2297.0,15.0,27750.0,1850.0,101,225282,2231.0
155089,30.0,328016.0,10934.0,5.0,52593.0,10519.0,35,380609,10875.0,2.0,2250.0,1125.0,2.0,6000.0,3000.0,4,8250,2063.0
155317,358.0,3195377.0,8926.0,189.0,2308564.0,12215.0,547,5503941,10062.0,36.0,102522.0,2848.0,96.0,213160.0,2220.0,132,315682,2392.0
155399,511.0,4279894.0,8376.0,104.0,827791.0,7960.0,615,5107685,8305.0,112.0,243876.0,2177.0,45.0,93289.0,2073.0,157,337165,2148.0
